76;29
76;36
;
;
76;44
76;51
7;
6;58
76;65
76;
73;
76;80
76;8
8;
76;95
76;102
;
76;110
76;118
;
76;126
76;135
;
76;144
76;152
7;
6;160
76;168
7;
6;177
76;185
7;
6;193
76;201
7;
6;210
76;219
;
76;227
76;235
;
76;243
76;251
;
76;260
76;268
;
76;277
76;285
;
;
76;293
76;302
76;
310;
76;318
;
;
76;326
76;335
;
;
76;344
76;352
;
76;360
76;368
76;
;376
76;385
76;
;393
76;402
76;
;410
76;418
7;
6;427
76;435
7;
6;443
76;451
7;
6;459
76;468
7;
6;477
76;485
;
76;493
76;501
;
76;509
76;518
;
76;526
76;535
;
76;543
76;551
;
;
76;560
76;568
76;
576;
76;584
;
;
76;592
75;602
;
;
76;610
76;618
;
76;626
76;634
76;
;643
76;651
76;
;659
76;668
76;
;676
76;685
7;
6;693
76;701
7;
6;709
76;717
7;
6;726
76;735
7;
6;743
76;751
;
76;759
75;771
;
76;776
76;784
;
76;792
76;800
;
76;809
76;818
76;
826;
76;834
76;
842;
76;850
76;
859;
76;867
76;
;876
76;884
76;
;892
76;901
76;
;909
76;917
76;
;925
76;933
7;
5;943
76;951
7;
6;959
76;967
7;
6;975
76;984
7;
6;992
76;1001
;
;
76;1010
76;101
9;
75;1029
76;1
38;
76;1047
76;
;1056
75;1067
;
;
76;1076
76;108
5;
76;1094
76;1
103;
75;1113
76;112
2;
75;1132
76;
1141;
76;1150
7;
5;1160
75;1170
;
;
76;1178
76;118
7;
75;1197
75;
1207;
76;1216
7;
6;1225
76;1234
;
;
75;1244
76;125
3;
75;1263
76;
1272;
75;1282
7;
6;1291
76;1300
;
;
76;1309
76;131
8;
75;1329
76;
1338;
76;1347
76;13
56;
75;1366
76;
1375;
76;1384
7;
6;1393
75;1403
;
75;1413
76;14
22;
76;1431
76;
1440;
76;1449
7;
5;1459
75;1469
;
76;1478
76;14
87;
75;1497
76;
1506;
76;1515
7;
6;1524
75;1534
;
75;1544
76;15
53;
76;1562
76;
1571;
75;1581
76;15
90;
75;1600
76;
;1609
76;1618
;
75;1628
76;1637
;
76;1646
76;16
55;
75;1666
76;
;1675
76;1684
;
76;1693
76;1702
;
75;1712
76;17
21;
75;1731
76;
;1740
75;1750
;
76;1759
76;1768
;
76;1777
76;17
86;
75;1797
76;
;1806
76;1815
;
76;1824
76;1833
75;
;1843
76;1852
;
;
75;1862
76;187
1;
75;1881
76;1
890;
76;1899
76;
;1908
76;1917
;
;
75;1928
76;193
7;
76;1946
76;1
955;
75;1965
76;
;1974
76;1983
;
;
76;1992
75;200
2;
75;2012
76;2
21;
76;2030
76;
;2039
75;2049
;
;
76;2058
75;2068
7;
6;2077
76;2086
;
;
75;2096
76;210
5;
76;2114
76;
2123;
75;2134
7;
6;2143
76;2152
;
;
76;2161
76;217
0;
75;2180
76;
2189;
75;2199
7;
6;2208
76;2217
;
;
75;2227
76;223
6;
76;2245
76;
2254;
75;2265
7;
6;2274
76;2283
;
;
76;2292
76;2301
7;
5;2311
76;2320
;
75;2330
76;23
39;
75;2349
76;
2358;
76;2367
7;
6;2376
76;2385
;
75;2396
76;24
5;
76;2414
76;
2423;
75;2433
7;
6;2442
76;2451
;
75;2461
76;24
70;
75;2480
76;
2489;
76;2498
7;
6;2507
76;2516
75;
;2527
76;2536
;
76;2545
76;2554
;
75;2564
76;25
73;
76;2582
76;
;2591
75;2601
;
75;2611
76;2620
;
76;2629
76;26
38;
75;2648
76;
;2657
75;2667
;
76;2676
76;2685
;
75;2695
76;27
4;
76;2713
76;
;2722
75;2733
;
76;2742
76;2751
;
76;2760
76;2769
;
;
75;2779
76;278
8;
75;2798
76;2
807;
75;2817
76;
;2826
76;2835
;
;
76;2844
76;285
3;
75;2864
76;2
873;
76;2882
76;
;2891
76;2900
;
;
75;2910
76;291
9;
75;2929
76;2
938;
75;2948
76;
;2957
76;2966
;
;
76;2975
76;298
4;
75;2995
76;3
4;
76;3013
76;
;3022
75;3032
;
;
76;3041
76;3050
7;
5;3060
76;3069
;
;
75;3079
76;308
8;
76;3097
76;
3106;
75;3116
7;
5;3126
76;3135
;
;
76;3144
76;315
3;
75;3163
76;
3172;
76;3181
7;
6;3190
75;3201
;
;
76;3210
76;321
9;
76;3228
76;3237
;
75;3247
76;32
56;
75;3266
76;
3275;
76;3284
7;
5;3294
76;3303
;
76;3312
76;33
21;
75;3332
76;
3341;
76;3350
7;
6;3359
76;3368
;
75;3378
76;33
87;
75;3397
76;
3406;
75;3416
7;
6;3425
76;3434
;
76;3443
76;34
52;
75;3463
76;3472
;
76;3481
76;34
90;
75;3500
76;
;3509
76;3518
;
75;3528
76;3537
;
75;3547
76;35
56;
76;3565
76;
;3574
75;3584
;
75;3594
76;3603
;
76;3612
76;36
21;
75;3631
76;
;3640
76;3649
;
75;3659
76;3668
;
75;3678
76;36
87;
76;3696
76;370
5;
75;3715
;
75;3725
76;3734
;
76;3743
76;3752
;
;
75;3762
76;377
1;
76;3780
76;3
789;
75;3800
76;
;3809
76;3818
;
;
76;3827
76;383
6;
75;3846
76;3
855;
75;3865
76;
;3874
75;3884
;
;
76;3893
76;390
2;
76;3911
76;3
920;
75;3931
76;394
0;
76;3949
;
;
76;3958
75;3968
7;
6;3977
76;3986
;
;
75;3996
76;400
5;
75;4015
76;
4024;
76;4033
7;
6;4042
76;4051
;
;
75;4062
76;407
1;
76;4080
76;
4089;
75;4099
7;
6;4108
76;4117
;
;
75;4127
76;413
6;
75;4146
76;
4155;
76;4164
7;
6;4173
75;4183
;
;
75;4193
76;4202
7;
6;4211
76;
4220;
75;4230
76;42
39;
76;4248
75;
4258;
75;4268
7;
6;4277
76;4286
;
76;4295
76;43
4;
75;4314
75;
4324;
76;4333
7;
6;4342
75;4352
;
76;4361
76;43
70;
76;4379
76;
4388;
75;4399
7;
6;4408
76;4417
;
76;4426
76;44
35;
75;4445
76;4454
;
75;4464
76;44
73;
75;4483
76;
;4492
76;4501
;
76;4510
76;4519
;
75;4530
76;45
39;
76;4548
76;
;4557
75;4567
;
76;4576
76;4585
;
75;4595
76;46
4;
75;4614
76;
;4623
76;4632
;
76;4641
75;4651
;
75;4661
76;46
70;
76;4679
76;
;4688
